team_name,user_name,draft_position,draft_id
Fake Team 235,Fake User 235,5,24
Fake Team 236,Fake User 236,6,24
Fake Team 237,Fake User 237,7,24
Fake Team 238,Fake User 238,8,24
Fake Team 239,Fake User 239,9,24
Fake Team 240,Fake User 240,10,24
Fake Team 241,Fake User 241,1,25
Fake Team 242,Fake User 242,2,25
Fake Team 243,Fake User 243,3,25
Fake Team 244,Fake User 244,4,25
Fake Team 245,Fake User 245,5,25
Fake Team 246,Fake User 246,6,25
Fake Team 247,Fake User 247,7,25
Fake Team 248,Fake User 248,8,25
Fake Team 249,Fake User 249,9,25
Fake Team 250,Fake User 250,10,25
Fake Team 251,Fake User 251,1,26
Fake Team 252,Fake User 252,2,26
Fake Team 253,Fake User 253,3,26
Fake Team 254,Fake User 254,4,26
Fake Team 255,Fake User 255,5,26
Fake Team 256,Fake User 256,6,26
Fake Team 257,Fake User 257,7,26
Fake Team 258,Fake User 258,8,26
Fake Team 259,Fake User 259,9,26
Fake Team 260,Fake User 260,10,26
Fake Team 261,Fake User 261,1,27
Fake Team 262,Fake User 262,2,27
Fake Team 263,Fake User 263,3,27
Fake Team 264,Fake User 264,4,27
Fake Team 265,Fake User 265,5,27
Fake Team 266,Fake User 266,6,27
Fake Team 267,Fake User 267,7,27
Fake Team 268,Fake User 268,8,27
Fake Team 269,Fake User 269,9,27
Fake Team 270,Fake User 270,10,27
Fake Team 271,Fake User 271,1,28
Fake Team 272,Fake User 272,2,28
Fake Team 273,Fake User 273,3,28
Fake Team 274,Fake User 274,4,28
Fake Team 275,Fake User 275,5,28
Fake Team 276,Fake User 276,6,28
Fake Team 277,Fake User 277,7,28
Fake Team 278,Fake User 278,8,28
Fake Team 279,Fake User 279,9,28
Fake Team 280,Fake User 280,10,28
Fake Team 281,Fake User 281,1,29
Fake Team 282,Fake User 282,2,29
Fake Team 283,Fake User 283,3,29
Fake Team 284,Fake User 284,4,29
Fake Team 285,Fake User 285,5,29
Fake Team 286,Fake User 286,6,29
Fake Team 287,Fake User 287,7,29
Fake Team 288,Fake User 288,8,29
Fake Team 289,Fake User 289,9,29
Fake Team 290,Fake User 290,10,29
Fake Team 291,Fake User 291,1,30
Fake Team 292,Fake User 292,2,30
Fake Team 293,Fake User 293,3,30
Fake Team 294,Fake User 294,4,30
Fake Team 295,Fake User 295,5,30
Fake Team 296,Fake User 296,6,30
Fake Team 297,Fake User 297,7,30
Fake Team 298,Fake User 298,8,30
Fake Team 299,Fake User 299,9,30
Fake Team 300,Fake User 300,10,30
Fake Team 301,Fake User 301,1,31
Fake Team 302,Fake User 302,2,31
Fake Team 303,Fake User 303,3,31
Fake Team 304,Fake User 304,4,31
Fake Team 305,Fake User 305,5,31
Fake Team 306,Fake User 306,6,31
Fake Team 307,Fake User 307,7,31
Fake Team 308,Fake User 308,8,31
Fake Team 309,Fake User 309,9,31
Fake Team 310,Fake User 310,10,31
Fake Team 311,Fake User 311,1,32
Fake Team 312,Fake User 312,2,32
Fake Team 313,Fake User 313,3,32
Fake Team 314,Fake User 314,4,32
Fake Team 315,Fake User 315,5,32
Fake Team 316,Fake User 316,6,32
Fake Team 317,Fake User 317,7,32
Fake Team 318,Fake User 318,8,32
Fake Team 319,Fake User 319,9,32
Fake Team 320,Fake User 320,10,32
Fake Team 321,Fake User 321,1,33
Fake Team 322,Fake User 322,2,33
Fake Team 323,Fake User 323,3,33
Fake Team 324,Fake User 324,4,33
Fake Team 325,Fake User 325,5,33
Fake Team 326,Fake User 326,6,33
Fake Team 327,Fake User 327,7,33
Fake Team 328,Fake User 328,8,33
Fake Team 329,Fake User 329,9,33
Fake Team 330,Fake User 330,10,33
Fake Team 331,Fake User 331,1,34
Fake Team 332,Fake User 332,2,34
Fake Team 333,Fake User 333,3,34
Fake Team 334,Fake User 334,4,34
Fake Team 335,Fake User 335,5,34
Fake Team 336,Fake User 336,6,34
Fake Team 337,Fake User 337,7,34
Fake Team 338,Fake User 338,8,34
Fake Team 339,Fake User 339,9,34
Fake Team 340,Fake User 340,10,34
Fake Team 341,Fake User 341,1,35
Fake Team 342,Fake User 342,2,35
Fake Team 343,Fake User 343,3,35
Fake Team 344,Fake User 344,4,35
Fake Team 345,Fake User 345,5,35
Fake Team 346,Fake User 346,6,35
Fake Team 347,Fake User 347,7,35
Fake Team 348,Fake User 348,8,35
Fake Team 349,Fake User 349,9,35
Fake Team 350,Fake User 350,10,35
Fake Team 351,Fake User 351,1,36
Fake Team 352,Fake User 352,2,36
Fake Team 353,Fake User 353,3,36
Fake Team 354,Fake User 354,4,36
Fake Team 355,Fake User 355,5,36
Fake Team 356,Fake User 356,6,36
Fake Team 357,Fake User 357,7,36
Fake Team 358,Fake User 358,8,36
Fake Team 359,Fake User 359,9,36
Fake Team 360,Fake User 360,10,36
Fake Team 361,Fake User 361,1,37
Fake Team 362,Fake User 362,2,37
Fake Team 363,Fake User 363,3,37
Fake Team 364,Fake User 364,4,37
Fake Team 365,Fake User 365,5,37
Fake Team 366,Fake User 366,6,37
Fake Team 367,Fake User 367,7,37
Fake Team 368,Fake User 368,8,37
Fake Team 369,Fake User 369,9,37
Fake Team 370,Fake User 370,10,37
Fake Team 371,Fake User 371,1,38
Fake Team 372,Fake User 372,2,38
Fake Team 373,Fake User 373,3,38
Fake Team 374,Fake User 374,4,38
Fake Team 375,Fake User 375,5,38
Fake Team 376,Fake User 376,6,38
Fake Team 377,Fake User 377,7,38
Fake Team 378,Fake User 378,8,38
Fake Team 379,Fake User 379,9,38
Fake Team 380,Fake User 380,10,38
Fake Team 381,Fake User 381,1,39
Fake Team 382,Fake User 382,2,39
Fake Team 383,Fake User 383,3,39
Fake Team 384,Fake User 384,4,39
Fake Team 385,Fake User 385,5,39
Fake Team 386,Fake User 386,6,39
Fake Team 387,Fake User 387,7,39
Fake Team 388,Fake User 388,8,39
Fake Team 389,Fake User 389,9,39
Fake Team 390,Fake User 390,10,39
Fake Team 391,Fake User 391,1,40
Fake Team 392,Fake User 392,2,40
Fake Team 393,Fake User 393,3,40
Fake Team 394,Fake User 394,4,40
Fake Team 395,Fake User 395,5,40
Fake Team 396,Fake User 396,6,40
Fake Team 397,Fake User 397,7,40
Fake Team 398,Fake User 398,8,40
Fake Team 399,Fake User 399,9,40
Fake Team 400,Fake User 400,10,40
Fake Team 401,Fake User 401,1,41
Fake Team 402,Fake User 402,2,41
Fake Team 403,Fake User 403,3,41
Fake Team 404,Fake User 404,4,41
Fake Team 405,Fake User 405,5,41
Fake Team 406,Fake User 406,6,41
Fake Team 407,Fake User 407,7,41
Fake Team 408,Fake User 408,8,41
Fake Team 409,Fake User 409,9,41
Fake Team 410,Fake User 410,10,41
Fake Team 411,Fake User 411,1,42
Fake Team 412,Fake User 412,2,42
Fake Team 413,Fake User 413,3,42
Fake Team 414,Fake User 414,4,42
Fake Team 415,Fake User 415,5,42
Fake Team 416,Fake User 416,6,42
Fake Team 417,Fake User 417,7,42
Fake Team 418,Fake User 418,8,42
Fake Team 419,Fake User 419,9,42
Fake Team 420,Fake User 420,10,42
Fake Team 421,Fake User 421,1,43
Fake Team 422,Fake User 422,2,43
Fake Team 423,Fake User 423,3,43
Fake Team 424,Fake User 424,4,43
Fake Team 425,Fake User 425,5,43
Fake Team 426,Fake User 426,6,43
Fake Team 427,Fake User 427,7,43
Fake Team 428,Fake User 428,8,43
Fake Team 429,Fake User 429,9,43
Fake Team 430,Fake User 430,10,43
Fake Team 431,Fake User 431,1,44
Fake Team 432,Fake User 432,2,44
Fake Team 433,Fake User 433,3,44
Fake Team 434,Fake User 434,4,44
Fake Team 435,Fake User 435,5,44
Fake Team 436,Fake User 436,6,44
Fake Team 437,Fake User 437,7,44
Fake Team 438,Fake User 438,8,44
Fake Team 439,Fake User 439,9,44
Fake Team 440,Fake User 440,10,44
Fake Team 441,Fake User 441,1,45
Fake Team 442,Fake User 442,2,45
Fake Team 443,Fake User 443,3,45
Fake Team 444,Fake User 444,4,45
Fake Team 445,Fake User 445,5,45
Fake Team 446,Fake User 446,6,45
Fake Team 447,Fake User 447,7,45
Fake Team 448,Fake User 448,8,45
Fake Team 449,Fake User 449,9,45
Fake Team 450,Fake User 450,10,45
Fake Team 451,Fake User 451,1,46
Fake Team 452,Fake User 452,2,46
Fake Team 453,Fake User 453,3,46
Fake Team 454,Fake User 454,4,46
Fake Team 455,Fake User 455,5,46
Fake Team 456,Fake User 456,6,46
Fake Team 457,Fake User 457,7,46
Fake Team 458,Fake User 458,8,46
Fake Team 459,Fake User 459,9,46
Fake Team 460,Fake User 460,10,46
Fake Team 461,Fake User 461,1,47
Fake Team 462,Fake User 462,2,47
Fake Team 463,Fake User 463,3,47
Fake Team 464,Fake User 464,4,47
Fake Team 465,Fake User 465,5,47
Fake Team 466,Fake User 466,6,47
Fake Team 467,Fake User 467,7,47
Fake Team 468,Fake User 468,8,47
Fake Team 469,Fake User 469,9,47
Fake Team 470,Fake User 470,10,47
Fake Team 471,Fake User 471,1,48
Fake Team 472,Fake User 472,2,48
Fake Team 473,Fake User 473,3,48
Fake Team 474,Fake User 474,4,48
Fake Team 475,Fake User 475,5,48
Fake Team 476,Fake User 476,6,48
Fake Team 477,Fake User 477,7,48
Fake Team 478,Fake User 478,8,48
Fake Team 479,Fake User 479,9,48
Fake Team 480,Fake User 480,10,48
Fake Team 481,Fake User 481,1,49
Fake Team 482,Fake User 482,2,49
Fake Team 483,Fake User 483,3,49
Fake Team 484,Fake User 484,4,49
Fake Team 485,Fake User 485,5,49
Fake Team 486,Fake User 486,6,49
Fake Team 487,Fake User 487,7,49
Fake Team 488,Fake User 488,8,49
Fake Team 489,Fake User 489,9,49
Fake Team 490,Fake User 490,10,49
Fake Team 491,Fake User 491,1,50
Fake Team 492,Fake User 492,2,50
Fake Team 493,Fake User 493,3,50
Fake Team 494,Fake User 494,4,50
Fake Team 495,Fake User 495,5,50
Fake Team 496,Fake User 496,6,50
Fake Team 497,Fake User 497,7,50
Fake Team 498,Fake User 498,8,50
Fake Team 499,Fake User 499,9,50
Fake Team 500,Fake User 500,10,50
Fake Team 501,Fake User 501,1,51
Fake Team 502,Fake User 502,2,51
Fake Team 503,Fake User 503,3,51
Fake Team 504,Fake User 504,4,51
Fake Team 505,Fake User 505,5,51
Fake Team 506,Fake User 506,6,51
Fake Team 507,Fake User 507,7,51
Fake Team 508,Fake User 508,8,51
Fake Team 509,Fake User 509,9,51
Fake Team 510,Fake User 510,10,51
Fake Team 511,Fake User 511,1,52
Fake Team 512,Fake User 512,2,52
Fake Team 513,Fake User 513,3,52
Fake Team 514,Fake User 514,4,52
Fake Team 515,Fake User 515,5,52
Fake Team 516,Fake User 516,6,52
Fake Team 517,Fake User 517,7,52
Fake Team 518,Fake User 518,8,52
Fake Team 519,Fake User 519,9,52
Fake Team 520,Fake User 520,10,52
Fake Team 521,Fake User 521,1,53
Fake Team 522,Fake User 522,2,53
Fake Team 523,Fake User 523,3,53
Fake Team 524,Fake User 524,4,53
Fake Team 525,Fake User 525,5,53
Fake Team 526,Fake User 526,6,53
Fake Team 527,Fake User 527,7,53
Fake Team 528,Fake User 528,8,53
Fake Team 529,Fake User 529,9,53
Fake Team 530,Fake User 530,10,53
Fake Team 531,Fake User 531,1,54
Fake Team 532,Fake User 532,2,54
Fake Team 533,Fake User 533,3,54
Fake Team 534,Fake User 534,4,54
Fake Team 535,Fake User 535,5,54
Fake Team 536,Fake User 536,6,54
Fake Team 537,Fake User 537,7,54
Fake Team 538,Fake User 538,8,54
Fake Team 539,Fake User 539,9,54
Fake Team 540,Fake User 540,10,54
Fake Team 541,Fake User 541,1,55
Fake Team 542,Fake User 542,2,55
Fake Team 543,Fake User 543,3,55
Fake Team 544,Fake User 544,4,55
Fake Team 545,Fake User 545,5,55
Fake Team 546,Fake User 546,6,55
Fake Team 547,Fake User 547,7,55
Fake Team 548,Fake User 548,8,55
Fake Team 549,Fake User 549,9,55
Fake Team 550,Fake User 550,10,55
Fake Team 551,Fake User 551,1,56
Fake Team 552,Fake User 552,2,56
Fake Team 553,Fake User 553,3,56
Fake Team 554,Fake User 554,4,56
Fake Team 555,Fake User 555,5,56
Fake Team 556,Fake User 556,6,56
Fake Team 557,Fake User 557,7,56
Fake Team 558,Fake User 558,8,56
Fake Team 559,Fake User 559,9,56
Fake Team 560,Fake User 560,10,56
Fake Team 561,Fake User 561,1,57
Fake Team 562,Fake User 562,2,57
Fake Team 563,Fake User 563,3,57
Fake Team 564,Fake User 564,4,57
Fake Team 565,Fake User 565,5,57
Fake Team 566,Fake User 566,6,57
Fake Team 567,Fake User 567,7,57
Fake Team 568,Fake User 568,8,57
Fake Team 569,Fake User 569,9,57
Fake Team 570,Fake User 570,10,57
Fake Team 571,Fake User 571,1,58
Fake Team 572,Fake User 572,2,58
Fake Team 573,Fake User 573,3,58
Fake Team 574,Fake User 574,4,58
Fake Team 575,Fake User 575,5,58
Fake Team 576,Fake User 576,6,58
Fake Team 577,Fake User 577,7,58
Fake Team 578,Fake User 578,8,58
Fake Team 579,Fake User 579,9,58
Fake Team 580,Fake User 580,10,58
Fake Team 581,Fake User 581,1,59
Fake Team 582,Fake User 582,2,59
Fake Team 583,Fake User 583,3,59
Fake Team 584,Fake User 584,4,59
Fake Team 585,Fake User 585,5,59
Fake Team 586,Fake User 586,6,59
Fake Team 587,Fake User 587,7,59
Fake Team 588,Fake User 588,8,59
Fake Team 589,Fake User 589,9,59
Fake Team 590,Fake User 590,10,59
Fake Team 591,Fake User 591,1,60
Fake Team 592,Fake User 592,2,60
Fake Team 593,Fake User 593,3,60
Fake Team 594,Fake User 594,4,60
Fake Team 595,Fake User 595,5,60
Fake Team 596,Fake User 596,6,60
Fake Team 597,Fake User 597,7,60
Fake Team 598,Fake User 598,8,60
Fake Team 599,Fake User 599,9,60
Fake Team 600,Fake User 600,10,60
Fake Team 601,Fake User 601,1,61
Fake Team 602,Fake User 602,2,61
Fake Team 603,Fake User 603,3,61
Fake Team 604,Fake User 604,4,61
Fake Team 605,Fake User 605,5,61
Fake Team 606,Fake User 606,6,61
Fake Team 607,Fake User 607,7,61
Fake Team 608,Fake User 608,8,61
Fake Team 609,Fake User 609,9,61
Fake Team 610,Fake User 610,10,61
Fake Team 611,Fake User 611,1,62
Fake Team 612,Fake User 612,2,62
Fake Team 613,Fake User 613,3,62
Fake Team 614,Fake User 614,4,62
Fake Team 615,Fake User 615,5,62
Fake Team 616,Fake User 616,6,62
Fake Team 617,Fake User 617,7,62
Fake Team 618,Fake User 618,8,62
Fake Team 619,Fake User 619,9,62
Fake Team 620,Fake User 620,10,62
Fake Team 621,Fake User 621,1,63
Fake Team 622,Fake User 622,2,63
Fake Team 623,Fake User 623,3,63
Fake Team 624,Fake User 624,4,63
Fake Team 625,Fake User 625,5,63
Fake Team 626,Fake User 626,6,63
Fake Team 627,Fake User 627,7,63
Fake Team 628,Fake User 628,8,63
Fake Team 629,Fake User 629,9,63
Fake Team 630,Fake User 630,10,63
Fake Team 631,Fake User 631,1,64
Fake Team 632,Fake User 632,2,64
Fake Team 633,Fake User 633,3,64
Fake Team 634,Fake User 634,4,64
Fake Team 635,Fake User 635,5,64
Fake Team 636,Fake User 636,6,64
Fake Team 637,Fake User 637,7,64
Fake Team 638,Fake User 638,8,64
Fake Team 639,Fake User 639,9,64
Fake Team 640,Fake User 640,10,64
Fake Team 641,Fake User 641,1,65
Fake Team 642,Fake User 642,2,65
Fake Team 643,Fake User 643,3,65
Fake Team 644,Fake User 644,4,65
Fake Team 645,Fake User 645,5,65
Fake Team 646,Fake User 646,6,65
Fake Team 647,Fake User 647,7,65
Fake Team 648,Fake User 648,8,65
Fake Team 649,Fake User 649,9,65
Fake Team 650,Fake User 650,10,65
Fake Team 651,Fake User 651,1,66
Fake Team 652,Fake User 652,2,66
Fake Team 653,Fake User 653,3,66
Fake Team 654,Fake User 654,4,66
Fake Team 655,Fake User 655,5,66
Fake Team 656,Fake User 656,6,66
Fake Team 657,Fake User 657,7,66
Fake Team 658,Fake User 658,8,66
Fake Team 659,Fake User 659,9,66
Fake Team 660,Fake User 660,10,66
Fake Team 661,Fake User 661,1,67
Fake Team 662,Fake User 662,2,67
Fake Team 663,Fake User 663,3,67
Fake Team 664,Fake User 664,4,67
Fake Team 665,Fake User 665,5,67
Fake Team 666,Fake User 666,6,67
Fake Team 667,Fake User 667,7,67
Fake Team 668,Fake User 668,8,67
Fake Team 669,Fake User 669,9,67
Fake Team 670,Fake User 670,10,67
Fake Team 671,Fake User 671,1,68
Fake Team 672,Fake User 672,2,68
Fake Team 673,Fake User 673,3,68
Fake Team 674,Fake User 674,4,68
Fake Team 675,Fake User 675,5,68
Fake Team 676,Fake User 676,6,68
Fake Team 677,Fake User 677,7,68
Fake Team 678,Fake User 678,8,68
Fake Team 679,Fake User 679,9,68
Fake Team 680,Fake User 680,10,68
Fake Team 681,Fake User 681,1,69
Fake Team 682,Fake User 682,2,69
Fake Team 683,Fake User 683,3,69
Fake Team 684,Fake User 684,4,69
Fake Team 685,Fake User 685,5,69
Fake Team 686,Fake User 686,6,69
Fake Team 687,Fake User 687,7,69
Fake Team 688,Fake User 688,8,69
Fake Team 689,Fake User 689,9,69
Fake Team 690,Fake User 690,10,69
Fake Team 691,Fake User 691,1,70
Fake Team 692,Fake User 692,2,70
Fake Team 693,Fake User 693,3,70
Fake Team 694,Fake User 694,4,70
Fake Team 695,Fake User 695,5,70
Fake Team 696,Fake User 696,6,70
Fake Team 697,Fake User 697,7,70
Fake Team 698,Fake User 698,8,70
Fake Team 699,Fake User 699,9,70
Fake Team 700,Fake User 700,10,70
Fake Team 701,Fake User 701,1,71
Fake Team 702,Fake User 702,2,71
Fake Team 703,Fake User 703,3,71
Fake Team 704,Fake User 704,4,71
Fake Team 705,Fake User 705,5,71
Fake Team 706,Fake User 706,6,71
Fake Team 707,Fake User 707,7,71
Fake Team 708,Fake User 708,8,71
Fake Team 709,Fake User 709,9,71
Fake Team 710,Fake User 710,10,71
Fake Team 711,Fake User 711,1,72
Fake Team 712,Fake User 712,2,72
Fake Team 713,Fake User 713,3,72
Fake Team 714,Fake User 714,4,72
Fake Team 715,Fake User 715,5,72
Fake Team 716,Fake User 716,6,72
Fake Team 717,Fake User 717,7,72
Fake Team 718,Fake User 718,8,72
Fake Team 719,Fake User 719,9,72
Fake Team 720,Fake User 720,10,72
Fake Team 721,Fake User 721,1,73
Fake Team 722,Fake User 722,2,73
Fake Team 723,Fake User 723,3,73
Fake Team 724,Fake User 724,4,73
Fake Team 725,Fake User 725,5,73
Fake Team 726,Fake User 726,6,73
Fake Team 727,Fake User 727,7,73
Fake Team 728,Fake User 728,8,73
Fake Team 729,Fake User 729,9,73
Fake Team 730,Fake User 730,10,73
Fake Team 731,Fake User 731,1,74
Fake Team 732,Fake User 732,2,74
Fake Team 733,Fake User 733,3,74
Fake Team 734,Fake User 734,4,74
