draft_id,draft_name,draft_type,roster_size,draft_size,draft_status
83,Fake Draft 83,Standard,10,10,completed
84,Fake Draft 84,PPR,10,10,completed
85,Fake Draft 85,Standard,10,10,completed
86,Fake Draft 86,PPR,10,10,completed
87,Fake Draft 87,Standard,10,10,completed
88,Fake Draft 88,PPR,10,10,completed
89,Fake Draft 89,Standard,10,10,completed
90,Fake Draft 90,PPR,10,10,completed
91,Fake Draft 91,Standard,10,10,completed
92,Fake Draft 92,PPR,10,10,completed
93,Fake Draft 93,Standard,10,10,completed
94,Fake Draft 94,PPR,10,10,completed
95,Fake Draft 95,Standard,10,10,completed
96,Fake Draft 96,PPR,10,10,completed
97,Fake Draft 97,Standard,10,10,completed
98,Fake Draft 98,PPR,10,10,completed
99,Fake Draft 99,Standard,10,10,completed
100,Fake Draft 100,PPR,10,10,completed
101,Fake Draft 101,Standard,10,10,completed
102,Fake Draft 102,PPR,10,10,completed
103,Fake Draft 103,Standard,10,10,completed
104,Fake Draft 104,PPR,10,10,completed
105,Fake Draft 105,Standard,10,10,completed
106,Fake Draft 106,PPR,10,10,completed
107,Fake Draft 107,Standard,10,10,completed
108,Fake Draft 108,PPR,10,10,completed
109,Fake Draft 109,Standard,10,10,completed
110,Fake Draft 110,PPR,10,10,completed
111,Fake Draft 111,Standard,10,10,completed
112,Fake Draft 112,PPR,10,10,completed
113,Fake Draft 113,Standard,10,10,completed
114,Fake Draft 114,PPR,10,10,completed
115,Fake Draft 115,Standard,10,10,completed
116,Fake Draft 116,PPR,10,10,completed
117,Fake Draft 117,Standard,10,10,completed
118,Fake Draft 118,PPR,10,10,completed
119,Fake Draft 119,Standard,10,10,completed
120,Fake Draft 120,PPR,10,10,completed
121,Fake Draft 121,Standard,10,10,completed
122,Fake Draft 122,PPR,10,10,completed
123,Fake Draft 123,Standard,10,10,completed
124,Fake Draft 124,PPR,10,10,completed
125,Fake Draft 125,Standard,10,10,completed
126,Fake Draft 126,PPR,10,10,completed
127,Fake Draft 127,Standard,10,10,completed
128,Fake Draft 128,PPR,10,10,completed
129,Fake Draft 129,Standard,10,10,completed
130,Fake Draft 130,PPR,10,10,completed
131,Fake Draft 131,Standard,10,10,completed
132,Fake Draft 132,PPR,10,10,completed
133,Fake Draft 133,Standard,10,10,completed
134,Fake Draft 134,PPR,10,10,completed
135,Fake Draft 135,Standard,10,10,completed
136,Fake Draft 136,PPR,10,10,completed
137,Fake Draft 137,Standard,10,10,completed
138,Fake Draft 138,PPR,10,10,completed
139,Fake Draft 139,Standard,10,10,completed
140,Fake Draft 140,PPR,10,10,completed
141,Fake Draft 141,Standard,10,10,completed
142,Fake Draft 142,PPR,10,10,completed
143,Fake Draft 143,Standard,10,10,completed
144,Fake Draft 144,PPR,10,10,completed
145,Fake Draft 145,Standard,10,10,completed
146,Fake Draft 146,PPR,10,10,completed
147,Fake Draft 147,Standard,10,10,completed
148,Fake Draft 148,PPR,10,10,completed
149,Fake Draft 149,Standard,10,10,completed
150,Fake Draft 150,PPR,10,10,completed
151,Fake Draft 151,Standard,10,10,completed
152,Fake Draft 152,PPR,10,10,completed
153,Fake Draft 153,Standard,10,10,completed
154,Fake Draft 154,PPR,10,10,completed
155,Fake Draft 155,Standard,10,10,completed
156,Fake Draft 156,PPR,10,10,completed
157,Fake Draft 157,Standard,10,10,completed
158,Fake Draft 158,PPR,10,10,completed
159,Fake Draft 159,Standard,10,10,completed
160,Fake Draft 160,PPR,10,10,completed
161,Fake Draft 161,Standard,10,10,completed
162,Fake Draft 162,PPR,10,10,completed
163,Fake Draft 163,Standard,10,10,completed
164,Fake Draft 164,PPR,10,10,completed
165,Fake Draft 165,Standard,10,10,completed
166,Fake Draft 166,PPR,10,10,completed
167,Fake Draft 167,Standard,10,10,completed
168,Fake Draft 168,PPR,10,10,completed
169,Fake Draft 169,Standard,10,10,completed
170,Fake Draft 170,PPR,10,10,completed
171,Fake Draft 171,Standard,10,10,completed
172,Fake Draft 172,PPR,10,10,completed
173,Fake Draft 173,Standard,10,10,completed
174,Fake Draft 174,PPR,10,10,completed
175,Fake Draft 175,Standard,10,10,completed
176,Fake Draft 176,PPR,10,10,completed
177,Fake Draft 177,Standard,10,10,completed
178,Fake Draft 178,PPR,10,10,completed
179,Fake Draft 179,Standard,10,10,completed
180,Fake Draft 180,PPR,10,10,completed
181,Fake Draft 181,Standard,10,10,completed
182,Fake Draft 182,PPR,10,10,completed
183,Fake Draft 183,Standard,10,10,completed
184,Fake Draft 184,PPR,10,10,completed
185,Fake Draft 185,Standard,10,10,completed
186,Fake Draft 186,PPR,10,10,completed
187,Fake Draft 187,Standard,10,10,completed
188,Fake Draft 188,PPR,10,10,completed
189,Fake Draft 189,Standard,10,10,completed
190,Fake Draft 190,PPR,10,10,completed
191,Fake Draft 191,Standard,10,10,completed
192,Fake Draft 192,PPR,10,10,completed
193,Fake Draft 193,Standard,10,10,completed
194,Fake Draft 194,PPR,10,10,completed
195,Fake Draft 195,Standard,10,10,completed
196,Fake Draft 196,PPR,10,10,completed
197,Fake Draft 197,Standard,10,10,completed
198,Fake Draft 198,PPR,10,10,completed
199,Fake Draft 199,Standard,10,10,completed
200,Fake Draft 200,PPR,10,10,completed
201,Fake Draft 201,Standard,10,10,completed
202,Fake Draft 202,PPR,10,10,completed
203,Fake Draft 203,Standard,10,10,completed
204,Fake Draft 204,PPR,10,10,completed
205,Fake Draft 205,Standard,10,10,completed
206,Fake Draft 206,PPR,10,10,completed
207,Fake Draft 207,Standard,10,10,completed
208,Fake Draft 208,PPR,10,10,completed
209,Fake Draft 209,Standard,10,10,completed
210,Fake Draft 210,PPR,10,10,completed
211,Fake Draft 211,Standard,10,10,completed
212,Fake Draft 212,PPR,10,10,completed
213,Fake Draft 213,Standard,10,10,completed
214,Fake Draft 214,PPR,10,10,completed
215,Fake Draft 215,Standard,10,10,completed
216,Fake Draft 216,PPR,10,10,completed
217,Fake Draft 217,Standard,10,10,completed
218,Fake Draft 218,PPR,10,10,completed
219,Fake Draft 219,Standard,10,10,completed
220,Fake Draft 220,PPR,10,10,completed
221,Fake Draft 221,Standard,10,10,completed
222,Fake Draft 222,PPR,10,10,completed
223,Fake Draft 223,Standard,10,10,completed
224,Fake Draft 224,PPR,10,10,completed
225,Fake Draft 225,Standard,10,10,completed
226,Fake Draft 226,PPR,10,10,completed
227,Fake Draft 227,Standard,10,10,completed
228,Fake Draft 228,PPR,10,10,completed
229,Fake Draft 229,Standard,10,10,completed
230,Fake Draft 230,PPR,10,10,completed
231,Fake Draft 231,Standard,10,10,completed
232,Fake Draft 232,PPR,10,10,completed
233,Fake Draft 233,Standard,10,10,completed
234,Fake Draft 234,PPR,10,10,completed
235,Fake Draft 235,Standard,10,10,completed
236,Fake Draft 236,PPR,10,10,completed
237,Fake Draft 237,Standard,10,10,completed
238,Fake Draft 238,PPR,10,10,completed
239,Fake Draft 239,Standard,10,10,completed
240,Fake Draft 240,PPR,10,10,completed
241,Fake Draft 241,Standard,10,10,completed
242,Fake Draft 242,PPR,10,10,completed
243,Fake Draft 243,Standard,10,10,completed
244,Fake Draft 244,PPR,10,10,completed
245,Fake Draft 245,Standard,10,10,completed
246,Fake Draft 246,PPR,10,10,completed
247,Fake Draft 247,Standard,10,10,completed
248,Fake Draft 248,PPR,10,10,completed
249,Fake Draft 249,Standard,10,10,completed
250,Fake Draft 250,PPR,10,10,completed
251,Fake Draft 251,Standard,10,10,completed
252,Fake Draft 252,PPR,10,10,completed
253,Fake Draft 253,Standard,10,10,completed
254,Fake Draft 254,PPR,10,10,completed
255,Fake Draft 255,Standard,10,10,completed
256,Fake Draft 256,PPR,10,10,completed
257,Fake Draft 257,Standard,10,10,completed
258,Fake Draft 258,PPR,10,10,completed
259,Fake Draft 259,Standard,10,10,completed
260,Fake Draft 260,PPR,10,10,completed
261,Fake Draft 261,Standard,10,10,completed
262,Fake Draft 262,PPR,10,10,completed
263,Fake Draft 263,Standard,10,10,completed
264,Fake Draft 264,PPR,10,10,completed
265,Fake Draft 265,Standard,10,10,completed
266,Fake Draft 266,PPR,10,10,completed
267,Fake Draft 267,Standard,10,10,completed
268,Fake Draft 268,PPR,10,10,completed
269,Fake Draft 269,Standard,10,10,completed
270,Fake Draft 270,PPR,10,10,completed
271,Fake Draft 271,Standard,10,10,completed
272,Fake Draft 272,PPR,10,10,completed
273,Fake Draft 273,Standard,10,10,completed
274,Fake Draft 274,PPR,10,10,completed
275,Fake Draft 275,Standard,10,10,completed
276,Fake Draft 276,PPR,10,10,completed
277,Fake Draft 277,Standard,10,10,completed
278,Fake Draft 278,PPR,10,10,completed
279,Fake Draft 279,Standard,10,10,completed
280,Fake Draft 280,PPR,10,10,completed
281,Fake Draft 281,Standard,10,10,completed
282,Fake Draft 282,PPR,10,10,completed
283,Fake Draft 283,Standard,10,10,completed
284,Fake Draft 284,PPR,10,10,completed
285,Fake Draft 285,Standard,10,10,completed
286,Fake Draft 286,PPR,10,10,completed
287,Fake Draft 287,Standard,10,10,completed
288,Fake Draft 288,PPR,10,10,completed
289,Fake Draft 289,Standard,10,10,completed
290,Fake Draft 290,PPR,10,10,completed
291,Fake Draft 291,Standard,10,10,completed
292,Fake Draft 292,PPR,10,10,completed
293,Fake Draft 293,Standard,10,10,completed
294,Fake Draft 294,PPR,10,10,completed
295,Fake Draft 295,Standard,10,10,completed
296,Fake Draft 296,PPR,10,10,completed
297,Fake Draft 297,Standard,10,10,completed
298,Fake Draft 298,PPR,10,10,completed
299,Fake Draft 299,Standard,10,10,completed
300,Fake Draft 300,PPR,10,10,completed
301,Fake Draft 301,Standard,10,10,completed
302,Fake Draft 302,PPR,10,10,completed
303,Fake Draft 303,Standard,10,10,completed
304,Fake Draft 304,PPR,10,10,completed
305,Fake Draft 305,Standard,10,10,completed
306,Fake Draft 306,PPR,10,10,completed
307,Fake Draft 307,Standard,10,10,completed
308,Fake Draft 308,PPR,10,10,completed
309,Fake Draft 309,Standard,10,10,completed
310,Fake Draft 310,PPR,10,10,completed
311,Fake Draft 311,Standard,10,10,completed
312,Fake Draft 312,PPR,10,10,completed
313,Fake Draft 313,Standard,10,10,completed
314,Fake Draft 314,PPR,10,10,completed
315,Fake Draft 315,Standard,10,10,completed
316,Fake Draft 316,PPR,10,10,completed
317,Fake Draft 317,Standard,10,10,completed
318,Fake Draft 318,PPR,10,10,completed
319,Fake Draft 319,Standard,10,10,completed
320,Fake Draft 320,PPR,10,10,completed
321,Fake Draft 321,Standard,10,10,completed
322,Fake Draft 322,PPR,10,10,completed
323,Fake Draft 323,Standard,10,10,completed
324,Fake Draft 324,PPR,10,10,completed
325,Fake Draft 325,Standard,10,10,completed
326,Fake Draft 326,PPR,10,10,completed
327,Fake Draft 327,Standard,10,10,completed
328,Fake Draft 328,PPR,10,10,completed
329,Fake Draft 329,Standard,10,10,completed
330,Fake Draft 330,PPR,10,10,completed
331,Fake Draft 331,Standard,10,10,completed
332,Fake Draft 332,PPR,10,10,completed
333,Fake Draft 333,Standard,10,10,completed
334,Fake Draft 334,PPR,10,10,completed
335,Fake Draft 335,Standard,10,10,completed
336,Fake Draft 336,PPR,10,10,completed
337,Fake Draft 337,Standard,10,10,completed
338,Fake Draft 338,PPR,10,10,completed
339,Fake Draft 339,Standard,10,10,completed
340,Fake Draft 340,PPR,10,10,completed
341,Fake Draft 341,Standard,10,10,completed
342,Fake Draft 342,PPR,10,10,completed
343,Fake Draft 343,Standard,10,10,completed
344,Fake Draft 344,PPR,10,10,completed
345,Fake Draft 345,Standard,10,10,completed
346,Fake Draft 346,PPR,10,10,completed
347,Fake Draft 347,Standard,10,10,completed
348,Fake Draft 348,PPR,10,10,completed
349,Fake Draft 349,Standard,10,10,completed
350,Fake Draft 350,PPR,10,10,completed
351,Fake Draft 351,Standard,10,10,completed
352,Fake Draft 352,PPR,10,10,completed
353,Fake Draft 353,Standard,10,10,completed
354,Fake Draft 354,PPR,10,10,completed
355,Fake Draft 355,Standard,10,10,completed
356,Fake Draft 356,PPR,10,10,completed
357,Fake Draft 357,Standard,10,10,completed
358,Fake Draft 358,PPR,10,10,completed
359,Fake Draft 359,Standard,10,10,completed
360,Fake Draft 360,PPR,10,10,completed
361,Fake Draft 361,Standard,10,10,completed
362,Fake Draft 362,PPR,10,10,completed
363,Fake Draft 363,Standard,10,10,completed
364,Fake Draft 364,PPR,10,10,completed
365,Fake Draft 365,Standard,10,10,completed
366,Fake Draft 366,PPR,10,10,completed
367,Fake Draft 367,Standard,10,10,completed
368,Fake Draft 368,PPR,10,10,completed
369,Fake Draft 369,Standard,10,10,completed
370,Fake Draft 370,PPR,10,10,completed
371,Fake Draft 371,Standard,10,10,completed
372,Fake Draft 372,PPR,10,10,completed
373,Fake Draft 373,Standard,10,10,completed
374,Fake Draft 374,PPR,10,10,completed
375,Fake Draft 375,Standard,10,10,completed
376,Fake Draft 376,PPR,10,10,completed
377,Fake Draft 377,Standard,10,10,completed
378,Fake Draft 378,PPR,10,10,completed
379,Fake Draft 379,Standard,10,10,completed
380,Fake Draft 380,PPR,10,10,completed
381,Fake Draft 381,Standard,10,10,completed
382,Fake Draft 382,PPR,10,10,completed
383,Fake Draft 383,Standard,10,10,completed
384,Fake Draft 384,PPR,10,10,completed
385,Fake Draft 385,Standard,10,10,completed
386,Fake Draft 386,PPR,10,10,completed
387,Fake Draft 387,Standard,10,10,completed
388,Fake Draft 388,PPR,10,10,completed
389,Fake Draft 389,Standard,10,10,completed
390,Fake Draft 390,PPR,10,10,completed
391,Fake Draft 391,Standard,10,10,completed
392,Fake Draft 392,PPR,10,10,completed
393,Fake Draft 393,Standard,10,10,completed
394,Fake Draft 394,PPR,10,10,completed
395,Fake Draft 395,Standard,10,10,completed
396,Fake Draft 396,PPR,10,10,completed
397,Fake Draft 397,Standard,10,10,completed
398,Fake Draft 398,PPR,10,10,completed
399,Fake Draft 399,Standard,10,10,completed
400,Fake Draft 400,PPR,10,10,completed
401,Fake Draft 401,Standard,10,10,completed
402,Fake Draft 402,PPR,10,10,completed
403,Fake Draft 403,Standard,10,10,completed
404,Fake Draft 404,PPR,10,10,completed
405,Fake Draft 405,Standard,10,10,completed
406,Fake Draft 406,PPR,10,10,completed
407,Fake Draft 407,Standard,10,10,completed
408,Fake Draft 408,PPR,10,10,completed
409,Fake Draft 409,Standard,10,10,completed
410,Fake Draft 410,PPR,10,10,completed
411,Fake Draft 411,Standard,10,10,completed
412,Fake Draft 412,PPR,10,10,completed
413,Fake Draft 413,Standard,10,10,completed
414,Fake Draft 414,PPR,10,10,completed
415,Fake Draft 415,Standard,10,10,completed
416,Fake Draft 416,PPR,10,10,completed
417,Fake Draft 417,Standard,10,10,completed
418,Fake Draft 418,PPR,10,10,completed
419,Fake Draft 419,Standard,10,10,completed
420,Fake Draft 420,PPR,10,10,completed
421,Fake Draft 421,Standard,10,10,completed
422,Fake Draft 422,PPR,10,10,completed
423,Fake Draft 423,Standard,10,10,completed
424,Fake Draft 424,PPR,10,10,completed
425,Fake Draft 425,Standard,10,10,completed
426,Fake Draft 426,PPR,10,10,completed
427,Fake Draft 427,Standard,10,10,completed
428,Fake Draft 428,PPR,10,10,completed
429,Fake Draft 429,Standard,10,10,completed
430,Fake Draft 430,PPR,10,10,completed
431,Fake Draft 431,Standard,10,10,completed
432,Fake Draft 432,PPR,10,10,completed
433,Fake Draft 433,Standard,10,10,completed
434,Fake Draft 434,PPR,10,10,completed
435,Fake Draft 435,Standard,10,10,completed
436,Fake Draft 436,PPR,10,10,completed
437,Fake Draft 437,Standard,10,10,completed
438,Fake Draft 438,PPR,10,10,completed
439,Fake Draft 439,Standard,10,10,completed
440,Fake Draft 440,PPR,10,10,completed
441,Fake Draft 441,Standard,10,10,completed
442,Fake Draft 442,PPR,10,10,completed
443,Fake Draft 443,Standard,10,10,completed
444,Fake Draft 444,PPR,10,10,completed
445,Fake Draft 445,Standard,10,10,completed
446,Fake Draft 446,PPR,10,10,completed
447,Fake Draft 447,Standard,10,10,completed
448,Fake Draft 448,PPR,10,10,completed
449,Fake Draft 449,Standard,10,10,completed
450,Fake Draft 450,PPR,10,10,completed
451,Fake Draft 451,Standard,10,10,completed
452,Fake Draft 452,PPR,10,10,completed
453,Fake Draft 453,Standard,10,10,completed
454,Fake Draft 454,PPR,10,10,completed
455,Fake Draft 455,Standard,10,10,completed
456,Fake Draft 456,PPR,10,10,completed
457,Fake Draft 457,Standard,10,10,completed
458,Fake Draft 458,PPR,10,10,completed
459,Fake Draft 459,Standard,10,10,completed
460,Fake Draft 460,PPR,10,10,completed
461,Fake Draft 461,Standard,10,10,completed
462,Fake Draft 462,PPR,10,10,completed
463,Fake Draft 463,Standard,10,10,completed
464,Fake Draft 464,PPR,10,10,completed
465,Fake Draft 465,Standard,10,10,completed
466,Fake Draft 466,PPR,10,10,completed
467,Fake Draft 467,Standard,10,10,completed
468,Fake Draft 468,PPR,10,10,completed
469,Fake Draft 469,Standard,10,10,completed
470,Fake Draft 470,PPR,10,10,completed
471,Fake Draft 471,Standard,10,10,completed
472,Fake Draft 472,PPR,10,10,completed
473,Fake Draft 473,Standard,10,10,completed
474,Fake Draft 474,PPR,10,10,completed
475,Fake Draft 475,Standard,10,10,completed
476,Fake Draft 476,PPR,10,10,completed
477,Fake Draft 477,Standard,10,10,completed
478,Fake Draft 478,PPR,10,10,completed
479,Fake Draft 479,Standard,10,10,completed
480,Fake Draft 480,PPR,10,10,completed
481,Fake Draft 481,Standard,10,10,completed
482,Fake Draft 482,PPR,10,10,completed
483,Fake Draft 483,Standard,10,10,completed
484,Fake Draft 484,PPR,10,10,completed
485,Fake Draft 485,Standard,10,10,completed
486,Fake Draft 486,PPR,10,10,completed
487,Fake Draft 487,Standard,10,10,completed
488,Fake Draft 488,PPR,10,10,completed
489,Fake Draft 489,Standard,10,10,completed
490,Fake Draft 490,PPR,10,10,completed
491,Fake Draft 491,Standard,10,10,completed
492,Fake Draft 492,PPR,10,10,completed
493,Fake Draft 493,Standard,10,10,completed
494,Fake Draft 494,PPR,10,10,completed
495,Fake Draft 495,Standard,10,10,completed
496,Fake Draft 496,PPR,10,10,completed
497,Fake Draft 497,Standard,10,10,completed
498,Fake Draft 498,PPR,10,10,completed
499,Fake Draft 499,Standard,10,10,completed
500,Fake Draft 500,PPR,10,10,completed
501,Fake Draft 501,Standard,10,10,completed
502,Fake Draft 502,PPR,10,10,completed
503,Fake Draft 503,Standard,10,10,completed
504,Fake Draft 504,PPR,10,10,completed
505,Fake Draft 505,Standard,10,10,completed
506,Fake Draft 506,PPR,10,10,completed
507,Fake Draft 507,Standard,10,10,completed
508,Fake Draft 508,PPR,10,10,completed
509,Fake Draft 509,Standard,10,10,completed
510,Fake Draft 510,PPR,10,10,completed
511,Fake Draft 511,Standard,10,10,completed
512,Fake Draft 512,PPR,10,10,completed
513,Fake Draft 513,Standard,10,10,completed
514,Fake Draft 514,PPR,10,10,completed
515,Fake Draft 515,Standard,10,10,completed
516,Fake Draft 516,PPR,10,10,completed
517,Fake Draft 517,Standard,10,10,completed
518,Fake Draft 518,PPR,10,10,completed
519,Fake Draft 519,Standard,10,10,completed
520,Fake Draft 520,PPR,10,10,completed
521,Fake Draft 521,Standard,10,10,completed
522,Fake Draft 522,PPR,10,10,completed
523,Fake Draft 523,Standard,10,10,completed
524,Fake Draft 524,PPR,10,10,completed
525,Fake Draft 525,Standard,10,10,completed
526,Fake Draft 526,PPR,10,10,completed
527,Fake Draft 527,Standard,10,10,completed
528,Fake Draft 528,PPR,10,10,completed
529,Fake Draft 529,Standard,10,10,completed
530,Fake Draft 530,PPR,10,10,completed
531,Fake Draft 531,Standard,10,10,completed
532,Fake Draft 532,PPR,10,10,completed
533,Fake Draft 533,Standard,10,10,completed
534,Fake Draft 534,PPR,10,10,completed
535,Fake Draft 535,Standard,10,10,completed
536,Fake Draft 536,PPR,10,10,completed
537,Fake Draft 537,Standard,10,10,completed
538,Fake Draft 538,PPR,10,10,completed
539,Fake Draft 539,Standard,10,10,completed
540,Fake Draft 540,PPR,10,10,completed
541,Fake Draft 541,Standard,10,10,completed
542,Fake Draft 542,PPR,10,10,completed
543,Fake Draft 543,Standard,10,10,completed
544,Fake Draft 544,PPR,10,10,completed
545,Fake Draft 545,Standard,10,10,completed
546,Fake Draft 546,PPR,10,10,completed
547,Fake Draft 547,Standard,10,10,completed
548,Fake Draft 548,PPR,10,10,completed
549,Fake Draft 549,Standard,10,10,completed
550,Fake Draft 550,PPR,10,10,completed
551,Fake Draft 551,Standard,10,10,completed
552,Fake Draft 552,PPR,10,10,completed
553,Fake Draft 553,Standard,10,10,completed
554,Fake Draft 554,PPR,10,10,completed
555,Fake Draft 555,Standard,10,10,completed
556,Fake Draft 556,PPR,10,10,completed
557,Fake Draft 557,Standard,10,10,completed
558,Fake Draft 558,PPR,10,10,completed
559,Fake Draft 559,Standard,10,10,completed
560,Fake Draft 560,PPR,10,10,completed
561,Fake Draft 561,Standard,10,10,completed
562,Fake Draft 562,PPR,10,10,completed
563,Fake Draft 563,Standard,10,10,completed
564,Fake Draft 564,PPR,10,10,completed
565,Fake Draft 565,Standard,10,10,completed
566,Fake Draft 566,PPR,10,10,completed
567,Fake Draft 567,Standard,10,10,completed
568,Fake Draft 568,PPR,10,10,completed
569,Fake Draft 569,Standard,10,10,completed
570,Fake Draft 570,PPR,10,10,completed
571,Fake Draft 571,Standard,10,10,completed
572,Fake Draft 572,PPR,10,10,completed
573,Fake Draft 573,Standard,10,10,completed
574,Fake Draft 574,PPR,10,10,completed
575,Fake Draft 575,Standard,10,10,completed
576,Fake Draft 576,PPR,10,10,completed
577,Fake Draft 577,Standard,10,10,completed
578,Fake Draft 578,PPR,10,10,completed
579,Fake Draft 579,Standard,10,10,completed
580,Fake Draft 580,PPR,10,10,completed
581,Fake Draft 581,Standard,10,10,completed
582,Fake Draft 582,PPR,10,10,completed
583,Fake Draft 583,Standard,10,10,completed
584,Fake Draft 584,PPR,10,10,completed
585,Fake Draft 585,Standard,10,10,completed
586,Fake Draft 586,PPR,10,10,completed
587,Fake Draft 587,Standard,10,10,completed
588,Fake Draft 588,PPR,10,10,completed
589,Fake Draft 589,Standard,10,10,completed
590,Fake Draft 590,PPR,10,10,completed
591,Fake Draft 591,Standard,10,10,completed
592,Fake Draft 592,PPR,10,10,completed
593,Fake Draft 593,Standard,10,10,completed
594,Fake Draft 594,PPR,10,10,completed
595,Fake Draft 595,Standard,10,10,completed
596,Fake Draft 596,PPR,10,10,completed
597,Fake Draft 597,Standard,10,10,completed
598,Fake Draft 598,PPR,10,10,completed
599,Fake Draft 599,Standard,10,10,completed
600,Fake Draft 600,PPR,10,10,completed
601,Fake Draft 601,Standard,10,10,completed
602,Fake Draft 602,PPR,10,10,completed
603,Fake Draft 603,Standard,10,10,completed
604,Fake Draft 604,PPR,10,10,completed
605,Fake Draft 605,Standard,10,10,completed
606,Fake Draft 606,PPR,10,10,completed
607,Fake Draft 607,Standard,10,10,completed
608,Fake Draft 608,PPR,10,10,completed
609,Fake Draft 609,Standard,10,10,completed
610,Fake Draft 610,PPR,10,10,completed
611,Fake Draft 611,Standard,10,10,completed
612,Fake Draft 612,PPR,10,10,completed
613,Fake Draft 613,Standard,10,10,completed
614,Fake Draft 614,PPR,10,10,completed
615,Fake Draft 615,Standard,10,10,completed
616,Fake Draft 616,PPR,10,10,completed
617,Fake Draft 617,Standard,10,10,completed
618,Fake Draft 618,PPR,10,10,completed
619,Fake Draft 619,Standard,10,10,completed
620,Fake Draft 620,PPR,10,10,completed
621,Fake Draft 621,Standard,10,10,completed
622,Fake Draft 622,PPR,10,10,completed
623,Fake Draft 623,Standard,10,10,completed
624,Fake Draft 624,PPR,10,10,completed
625,Fake Draft 625,Standard,10,10,completed
626,Fake Draft 626,PPR,10,10,completed
627,Fake Draft 627,Standard,10,10,completed
628,Fake Draft 628,PPR,10,10,completed
629,Fake Draft 629,Standard,10,10,completed
630,Fake Draft 630,PPR,10,10,completed
631,Fake Draft 631,Standard,10,10,completed
632,Fake Draft 632,PPR,10,10,completed
633,Fake Draft 633,Standard,10,10,completed
