player_name,player_id
Tre Tucker,TuckTr00
Emari Demercado,DemeEm00
Michael Thomas,ThomMi05
Marvin Mims,MimsMa00
A.T. Perry,PerrAT00
Mitchell Trubisky,TrubMi00
Robert Woods,WoodRo02
Tucker Kraft,KrafTu00
Darnell Mooney,MoonDa00
KaVontae Turpin,TurpKa00
Cedrick Wilson Jr.,WilsCe01
Chris Moore,MoorCh00
Rashod Bateman,BateRa00
Royce Freeman,FreeRo00
Pat Freiermuth,FreiPa00
Zay Jones,JoneZa00
Michael Mayer,MayeMi00
Kylen Granson,GranKy00
Noah Gray,GrayNo00
Jamaal Williams,WillJa06
Jordan Mason,MasoJo00
Jonathan Mingo,MingJo00
Elijah Mitchell,MitcEl00
Greg Dortch,DortGr01
Noah Fant,FantNo00
Tanner Hudson,HudsTa00
Luke Musgrave,MusgLu00
Chase Brown,BrowCh10
Mason Rudolph,RudoMa00
Isaiah Hodgins,HodgIs00
DeVante Parker,ParkDe01
Jake Bobo,BoboJa00
Xavier Gipson,GipsXa00
Trenton Irwin,IrwiTr00
Brandon Powell,PoweBr00
Pierre Strong,StroPi00
Adam Trautman,TrauAd00
Jalin Hyatt,HyatJa00
Allen Lazard,LazaAl00
Colby Parkinson,ParkCo02
Durham Smythe,SmytDu00
Jalen Tolbert,TolbJa00
Tommy Tremble,TremTo00
Cam Akers,AkerCa00
Mo Alie-Cox,AlieMo00
Calvin Austin,AustCa00
Mike Gesicki,GesiMi00
Andrei Iosivas,IosiAn00
Chris Rodriguez,RodrCh00
Marquez Valdes-Scantling,ValdMa00
David Bell,BellDa02
Michael Carter,CartMi03
Darrell Henderson,HendDa00
Lil'Jordan Humphrey,HumpLi01
Brevin Jordan,JordBr00
Jauan Jennings,JennJa00
Dawson Knox,KnoxDa00
Kendre Miller,MillKe01
Skyy Moore,MoorSk01
JuJu Smith-Schuster,SmitJu00
Braxton Berrios,BerrBr00
Josh Oliver,OlivJo00
Mike Williams,WillMi07
Matt Breida,BreiMa00
Bo Melton,MeltBo00
Alex Erickson,EricAl01
Drew Lock,LockDr00
Andrew Beck,BeckAn01
Jimmy Graham,GrahJi00
Scott Miller,MillSc01
Cordarrelle Patterson,PattCo00
Allen Robinson,RobiAl02
Drew Sample,SampDr00
Olamide Zaccheaus,ZaccOl01
Salvon Ahmed,AhmeSa01
Andrew Ogletree,OgleAn00
Trevor Siemian,SiemTr00
Jarrett Stidham,StidJa00
Jeff Wilson,WilsJe01
Jamal Agnew,AgneJa00
Daniel Bellinger,BellDa00
Chase Edmonds,EdmoCh00
Tyler Huntley,HuntTy01
Kadarius Toney,ToneKa00
Carson Wentz,WentCa00
Ronnie Bell,BellRo01
Pharaoh Brown,BrowPh01
Harrison Bryant,BryaHa00
Dalvin Cook,CookDa01
Zach Ertz,ErtzZa00
Deonte Harty,HarrDe07
Mack Hollins,HollMa00
D'Ernest Johnson,JohnDE04
Ty Johnson,JohnTy02
Julio Jones,JoneJu02
Tony Jones,JoneTo04
Kyle Juszczyk,JuszKy00
Foster Moreau,MoreFo00
Craig Reynolds,ReynCr00
Ihmir Smith-Marsette,SmitIh00
Treylon Burks,BurkTr00
Andy Dalton,DaltAn00
Hayden Hurst,HursHa00
Hunter Renfrow,RenfHu00
Jacoby Brissett,BrisJa00
Dyami Brown,BrowDy00
Sam Darnold,DarnSa00
Will Dissly,DissWi00
Darrynton Evans,EvanDa02
KhaDarel Hodge,HodgKh00
Austin Hooper,HoopAu00
Johnny Mundt,MundJo00
Cedric Tillman,TillCe01
Parker Washington,WashPa01
Ameer Abdullah,AbduAm00
Tank Bigsby,BigsTa00
Elijah Higgins,HiggEl00
Jalen Reagor,ReagJa00
Stone Smartt,SmarSt00
Dorian Thompson-Robinson,ThomDo02
C.J. Beathard,BeatC.00
Derius Davis,DaviDe02
Van Jefferson,JeffVa00
Will Mallory,MallWi00
Jamison Crowder,CrowJa00
P.J. Walker,WalkPh00
Quez Watkins,WatkQu00
Robbie Chosen,AndeRo04
Nick Chubb,ChubNi00
Malik Heath,HeatMa00
Luke Schoonmaker,SchoLu00
Tyler Scott,ScotTy00
Patrick Taylor,TaylPa01
River Cracraft,CracRi00
Kevin Harris,HarrKe01
Davis Mills,MillDa02
Deven Thompkins,ThomDe07
Melvin Gordon,GordMe00
Damien Harris,HarrDa06
Connor Heyward,HeywCo00
Ray-Ray McCloud,McClRa00
MyCole Pruitt,PruiMy00
Trey Sermon,SermTr00
Davis Allen,AlleDa02
Luke Farrell,FarrLu00
Lucas Krull,KrulLu00
John Metchie,MetcJo00
Donovan Peoples-Jones,PeopDo00
Kyle Philips,PhilKy01
Irv Smith Jr.,SmitIr01
John Bates,BateJo00
Jalen Guyton,GuytJa01
Charlie Kolar,KolaCh00
David Moore,MoorDa03
Ronnie Rivers,RiveRo01
Jeremy Ruckert,RuckJe00
Trent Sherfield,SherTr00
Josh Whyle,WhylJo01
Brock Wright,WrigBr01
Chase Claypool,ClayCh01
Jeff Driskel,DrisJe00
Xavier Hutchinson,HutcXa00
Charlie Jones,JoneCh11
Terrace Marshall Jr.,MarsTe00
Byron Pringle,PrinBy00
Ben Skowronek,SkowBe00
Tyquan Thornton,ThorTy00
Jordan Akins,AkinJo00
Isaiah Spiller,SpilIs00
Stephen Sullivan,SullSt00
Lynn Bowden Jr.,BowdLy00
Jason Brownlee,BrowJa07
Randall Cobb,CobbRa00
Tyler Goodson,GoodTy00
Alec Ingold,IngoAl01
Marcus Mariota,MariMa01
D.J. Montgomery,MontDJ01
Boston Scott,ScotBo02
Laviska Shenault Jr.,ShenLa00
Cole Turner,TurnCo00
C.J. Uzomah,UzomC.00
Jameis Winston,WinsJa00
Raheem Blackshear,BlacRa00
Brandon Bolden,BoldBr00
Tim Boyle,BoylTi00
Chris Brooks,BrooCh00
Mecole Hardman,HardMe00
La'Mical Perine,PeriLa00
Patrick Ricard,RicaPa00
Robert Tonyan,TonyRo00
Emanuel Wilson,WilsEm00
Lawrence Cager,CageLa01
Parris Campbell,CampPa00
J.K. Dobbins,DobbJK00
Marquise Goodwin,GoodMa00
Keaontay Ingram,IngrKe01
Case Keenum,KeenCa00
Keith Kirkwood,KirkKe00
Hunter Luepke,LuepHu00
Sterling Shepard,ShepSt00
Brenton Strange,StraBr00
Israel Abanikanda,AbanIs00
Nick Bawden,BawdNi00
Richie James,JameRi00
Marcedes Lewis,LewiMa00
Quintin Morris,MorrQu00
Geoff Swaim,SwaiGe00
Brycen Hopkins,HopkBr01
Tim Jones,JoneTi00
Dare Ogunbowale,OgunDa00
Ben Sims,SimsBe00
Samori Toure,TourSa00
Deuce Vaughn,VaugDe00
Trayveon Williams,WillTr06
Blake Bell,BellBl00
Gary Brightwell,BrigGa00
Chris Conley,ConlCh00
Josiah Deguara,DeguJo00
Simi Fehoko,FehoSi00
Eric Gray,GrayEr01
Tyler Johnson,JohnTy00
Velus Jones Jr.,JoneVe00
Clayton Tune,TuneCl00
Tylan Wallace,WallTy00
Jalen Brooks,BrooJa03
DeAndre Carter,CartDe02
Payne Durham,DurhPa00
Blaine Gabbert,GabbBl00
Rakim Jarrett,JarrRa00
Ko Kieft,KiefKo00
Isaiah McKenzie,McKeIs00
Equanimeous St. Brown,St.BEq00
Ian Thomas,ThomIa00
Darnell Washington,WashDa03
Mitchell Wilcox,WilcMi01
Damien Williams,WillDa05
Brian Hoyer,HoyeBr00
Ty Montgomery,MontTy01
Justyn Ross,RossJu00
Brett Rypien,RypiBr00
Mike Strachan,StraMi03
Michael Burton,BurtMi00
Grant Calcaterra,CalcGr00
Elijah Cooks,CookEl00
Britain Covey,CoveBr00
Leonard Fournette,FourLe00
Peyton Hendershot,HendPe01
Rashaad Penny,PennRa00
Jack Stoll,StolJa00
Ke'Shawn Vaughn,VaugKe00
Khari Blasingame,BlasKh00
Keelan Doss,DossKe00
Greg Dulcich,DulcGr00
Devin Duvernay,DuveDe00
Derrick Gore,GoreDe00
C.J. Ham,HamxC.00
Julian Hill,HillJu02
Trishton Jackson,JackTr02
James Mitchell,MitcJa00
Jalen Nailor,NailJa00
Teagan Quitoriano,QuitTe00
Cooper Rush,RushCo00
Steven Sims,SimsSt00
Keith Smith,SmitKe03
Sean Tucker,TuckSe00
Malik Willis,WillMa12
Charlie Woerner,WoerCh00
Kenny Yeboah,YeboKe00
Nate Adkins,AdkiNa00
Kayshon Boutte,BoutKa00
Miles Boykin,BoykMi00
DeeJay Dallas,DallDe00
Tyrion Davis-Price,DaviTy03
Elijah Dotson,DotsEl00
Zach Evans,EvanZa00
Erik Ezukanma,EzukEr00
Jake Funk,FunkJa00
Jaren Hall,HallJa00
Marvin Jones,JoneMa02
Zonovan Knight,KnigZo00
Chris Manhertz,ManhCh00
Nick Muse,MuseNi00
Gunner Olszewski,OlszGu00
Zach Pascal,PascZa00
Laquon Treadwell,TreaLa00
Trevon Wesco,WescTr00
Mike White,WhitMi01
Alex Armah,ArmaAl00
Sean Clifford,ClifSe00
Jashaun Corbin,CorbJa01
Kenyan Drake,DrakKe00
Ross Dwelley,DwelRo00
D'Wayne Eskridge,EskrDW00
Chris Evans,EvanCh02
Tucker Fisk,FiskTu00
John FitzPatrick,FitzJo00
Cole Fotheringham,FothCo00
Evan Hull,HullEv00
Collin Johnson,JohnCo01
Jakob Johnson,JohnJa12
Mason Kinsey,KinsMa00
A.J. McCarron,McCaA.00
Anthony McFarland Jr.,McFaAn00
Kene Nwangwu,NwanKe00
Devine Ozigbo,OzigDe01
Kevin Rader,RadeKe00
Eric Saubert,SaubEr00
Willie Snead,SneaWi00
Malik Taylor,TaylMa01
Cody Thompson,ThomCo04
Austin Trammell,TramAu00
Jonathan Ward,WardJo00
Devon Allen,AlleDe02
Stephen Anderson,AndeSt01
Andre Baccellia,BaccAn00
Michael Bandy,BandMi00
Matt Barkley,BarkMa00
Nick Bellore,BellNi01
Chris Blair,BlaiCh00
Teddy Bridgewater,BridTe00
Matt Bushman,BushMa00
Terrell Bynum,BynuTe00
Damiere Byrd,ByrdDa00
Jason Cabinda,CabiJa00
Marquez Callaway,CallMa01
Stephen Carlson,CarlSt00
Irvin Charles,CharIr00
Julius Chestnut,ChesJu00
Dan Chisena,ChisDa00
Corey Clement,ClemCo00
Tanner Conner,ConnTa00
Malik Cunningham,CunnMa00
Darrell Daniels,DaniDa02
Frank Darby,DarbFr00
Jaelon Darden,DardJa00
Malik Davis,DaviMa02
Phillip Dorsett,DorsPh00
Colton Dowell,DoweCo00
Dylan Drummond,DrumDy00
Sam Ehlinger,EhliSa00
Princeton Fant,FantPr00
Ethan Fernea,FernEt00
Anthony Firkser,FirkAn00
Dez Fitzpatrick,FitzDe00
Myles Gaskin,GaskMy00
Zach Gentry,GentZa00
Reggie Gilliam,GillRe00
Antoine Green,GreeAn00
Jacob Harris,HarrJa03
N'Keal Harry,HarrNK00
Jamycal Hasty,HastJa02
Parker Hesse,HessPa00
J.P. Holtz,HoltJ.01
Travis Homer,HomeTr00
Jesper Horsted,HorsJe00
Mohamed Ibrahim,IbraMo00
Godwin Igwebuike,IgweGo00
Andy Isabella,IsabAn00
Kearis Jackson,JackKe02
Lucky Jackson,JackLu00
Shedrick Jackson,JackSh01
Tyree Jackson,JackTy01
Johnny Johnson,JohnJo12
Hunter Kampmoyer,KampHu00
Dalton Keene,KeenDa00
Tyler Kroft,KrofTy00
Zack Kuntz,KuntZa00
Kwamie Lassiter II,LassKw00
Hunter Long,LongHu00
Tay Martin,MartTa00
Ben Mason,MasoBe00
Jordan Matthews,MattJo00
Kenny McIntosh,McInKe00
Sean McKeon,McKeSe01
Tre' McKitty,McKiTr00
Jeremy McNichols,McNiJe00
Kirk Merritt,MerrKi00
Ryan Miller,MillRy01
Jordan Mims,MimsJo00
Stanley Morgan Jr.,MorgSt02
Albert Okwuegbunam,OkwuAl00
Qadree Ollison,OlliQa00
Henry Pearson,PearHe00
Josh Pederson,PedeJo00
Nathan Peterman,PeteNa00
Adam Prentice,PrenAd00
Deneric Prince,PrinDe00
Giovanni Ricci,RiccGi00
James Robinson,RobiJa00
Aaron Rodgers,RodgAa00
Amari Rodgers,RodgAm00
Brady Russell,RussBr00
David Sills,SillDa01
Matthew Slater,SlatMa00
Tre'Quan Smith,SmitTr03
Matt Sokol,SokoMa00
SaRodorick Thompson,ThomSa00
Mitchell Tinsley,TinsMi00
Noah Togiai,TogiNo00
Kyle Trask,TrasKy00
DJ Turner,TurnDJ00
Xazavian Valladay,VallXa00
Nick Vannett,VannNi00
Travis Vokolek,VokoTr00
Dwayne Washington,WashDw00
Montrell Washington,WashMo00
Blake Whiteheart,WhitBl01
Kristian Wilkerson,WilkKr00
Brayden Willis,WillBr06
Jonathan Williams,WillJo07
Rodney Williams,WillRo08
Juwann Winfree,WinfJu00
Easop Winston,WinsEa00
Logan Woodside,WoodLo00
Owen Wright,WrigOw00
Dareke Young,YounDa02
Kyle Allen,AlleKy00
Deon Jackson,JackDe02
David Wells,WellDa00
James Proche,ProcJa00
Trent Taylor,TaylTr02
